Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,436000
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,763000
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77,6,788000
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,1025000
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,2364000
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,2108500
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,2177000
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,1864000
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71,5,823000
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105,6,1139000
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,5314000
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74,5,788000
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75,5,788000
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74,5,788000
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82,5,745000
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,1323000
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,478000
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,1025000
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,1133000
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,788000
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,1934000
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20,1399,68,5,765000
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186,5,4949000
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170,5,4949000
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25,1396,69,5,763000
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140,5,5314000
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78,5,1358000
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,14.21,1950,194,5,4914000
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,1127000
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,1181000
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500,5,13600000
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140,7,1886500
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,1025000
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,1665000
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,662000
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,6710000
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399,68,5,1168500
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132,8,2401000
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102,7,2401000
Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,17,1086,62.1,5,455000
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74,5,788000
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,667000
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18,1198,86.7,5,854000
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20,1399,68,5,765000
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,788000
Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,1358000
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218,5,6787000
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,1025000
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82,5,745000
Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17,1086,62.1,5,455000
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,854000
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13,2982,168.5,7,3717000
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,6710000
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,1168500
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140,7,1886500
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,854000
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,1015000
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110,5,1425500
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,551000
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,1015000
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23,1396,90,5,1025000
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,1025000
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67,7,645000
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,5314000
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17,1197,80,5,1025000
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14,796,35,5,788000
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,641000
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,6967500
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16,2179,140,7,1886500
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,1425500
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,2700000
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73,5,513000
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,763000
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190,5,5443000
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130,5,1358000
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,2401000
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150,5,3790000
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,951000
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215,5,6787000
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,996000
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,17,1086,62.1,5,455000
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15,2143,107.3,5,3703000
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22,1582,126.2,5,1444000
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,551000
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,763000
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120,8,1886500
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178,5,4949000
Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5,551000
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152,5,3351000
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,1323000
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,1111000
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16,2179,140,7,1886500
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,788000
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,453000
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19,2996,362.07,2,9504000
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17,1591,121.3,5,1349000
Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,436000
BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143,5,5507000
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19,1199,88.7,5,960000
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130,5,1358000
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170,5,4949000
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,854000
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22,1197,81.8,5,788000
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,17,1086,62.1,5,455000
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171,7,3717000
Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,1131500
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,1422000
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,1111000
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444,4,12800000
BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190,5,6088000
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,5314000
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74,5,788000
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,4949000
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,1422000
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,3336000
Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,1025000
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,1015000
Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,609500
Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,662000
Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,3703000
Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26,1498,98.6,5,1358000
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,2401000
Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,788000
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140,7,1886500
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,1168500
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,13,2982,168.5,7,3717000
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,1323000
Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20,1399,68,5,765000
BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258,5,5507000
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,4949000
Honda Brio V MT,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,662000
Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,1025000
Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170,5,6380500
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,739000
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,6710000
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,1323000
Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112,5,4212000
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,1025000
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,6710000
Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5,1131500
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,3336000
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68,5,1168500
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190,5,6947000
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,1131500
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,1015000
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,1505000
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,Diesel,Automatic,First,13,2143,201.1,5,8697000
Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,878000
Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,1425500
Hyundai i10 Magna 1.1,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,1025000
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120,7,1886500
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,12000000
Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20,1399,68,5,765000
Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,1274000
Honda City 1.5 GXI,Ahmedabad,2007,60006,Petrol,Manual,First,17,1497,117.3,5,1358000
Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,854000
Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,1025000
Honda Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,854000
Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,106,5,2583000
Renault Duster 85PS Diesel RxL,Delhi,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,1505000
Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100,7,1052000
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,1198000
Hyundai i20 Asta Option 1.2,Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,1025000
Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,85,5,2583000
Tata Indigo eCS GLX,Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,763000
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,4480000
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,2583000
Toyota Etios Liva GD SP,Delhi,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,852500
Maruti Swift 1.3 VXi,Kolkata,2010,42001,Petrol,Manual,First,16.1,1248,74,5,788000
Mercedes-Benz B Class B180,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,3703000
Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,854000
Hyundai Verna 1.6 SX,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,1425500
Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5,1505000
Hyundai Creta 1.6 VTVT S,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5,1606000
Maruti Wagon R AMT VXI,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,67,5,551000
Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,186,5,4949000
Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,5314000
Hyundai i10 Magna 1.1,Pune,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5,1025000
Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5,1422000
Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,3358000
Hyundai i20 Active 1.2 SX,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5,1025000
Honda Amaze VX i-DTEC,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5,854000
Maruti Wagon R LXI,Chennai,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5,551000
Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65,5,912000
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5,4949000
Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5,529000
Nissan Terrano XV Premium 110 PS Anniversary Edition,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5,1665000
Maruti Swift VDI BSIV,Delhi,2013,47000,Diesel,Manual,First,17.8,1248,74,5,788000
Mini Cooper Convertible S,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4,4428000
Ford Figo Diesel,Bangalore,2015,70436,Diesel,Manual,First,20,1498,99,5,765000
Tata Indica V2 DLS BSII,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5,763000
Chevrolet Beat LT,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5,1131500
Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199,73.9,5,1015000
Maruti Swift ZDi,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248,74,5,788000
Ford Figo Diesel EXI,Kolkata,2012,41284,Diesel,Manual,First,20,1399,68.05,5,765000
Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7,2074000
Hyundai Santa Fe 4x4 AT,Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7,1025000
Honda City i-VTEC V,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497,117.3,5,1174000
Hyundai i20 1.2 Magna Executive,Kochi,2018,14960,Petrol,Manual,First,18.6,1197,81.83,5,1025000
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Kochi,2015,55980,Diesel,Automatic,First,19.27,2143,167.62,5,4949000
Chevrolet Beat Diesel LT,Mumbai,2013,74000,Diesel,Manual,First,25.44,936,57.6,5,1131500
Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,56847,Diesel,Manual,First,22.54,1396,88.73,5,1025000
